阿空	 a kong
阿燐	 a lin
艾丽	 ai li
爱丽丝	 ai li si
爱丽丝的魔法书	 ai li si de mo fa shu
爱丽丝玛格特洛依德	 ai li si ma ge te luo yi de
爱丽丝梦游仙境	 ai li si meng you xian jing
爱莲	 ai lian
爱塔妮缇拉尔瓦	 ai ta ni ti la er wa
奥莲姬	 ao lian ji
八百万之神	 ba bai wan zhi shen
八坂神奈子	 ba ban shen nai zi
八分咲	 ba fen xiao
八桥	 ba qiao
八意永琳	 ba yi yong lin
八云蓝	 ba yun lan
八云紫	 ba yun zi
百鬼夜行	 bai gui ye xing
白鹭风茗	 bai lu feng ming
稗田阿求	 bai tian a qiu
百万鬼夜行	 bai wan gui ye xing
百药枡	 bai yao sheng
白玉楼	 bai yu lou
半白泽	 ban bai ze
坂田合欢乃	 ban tian he huan nai
抱头蹲防	 bao tou dun fang
本居小铃	 ben ju xiao ling
彼岸	 bi an
彼岸归航	 bi an gui hang
比那名居天子	 bi na ming ju tian zi
弁弁	 bian bian
博丽	 bo li
博丽大结界	 bo li da jie jie
博丽结界	 bo li jie jie
博丽灵梦	 bo li ling meng
博丽神社	 bo li shen she
博丽神社例大祭	 bo li shen she li da ji
布都	 bu dou
布加勒斯特的人偶师	 bu jia le si te de ren ou shi
不可思议之国的爱丽丝	 bu ke si yi zhi guo de ai li si
不死之烟飘上月球	 bu si zhi yan piao shang yue qiu
擦弹	 ca dan
残机	 can ji
车万	 che wan
赤蛮奇	 chi man qi
重生	 chong sheng
船幽灵	 chuan you ling
纯狐	 chun hu
纯妈	 chun ma
纯情活泼的小姑娘	 chun qing huo po de xiao gu niang
茨歌仙	 ci ge xian
茨木华扇	 ci mu hua shan
萃梦想	 cui meng xiang
萃香	 cui xiang
村纱水蜜	 cun sha shui mi
大蛤蟆之池	 da ha ma zhi chi
大酱	 da jiang
大结界	 da jie jie
大妖精	 da yao jing
大玉	 da yu
弹幕	 dan mu
弹幕邪天鬼	 dan mu xie tian gui
弹幕战	 dan mu zhan
道中	 dao zhong
得点	 de dian
地底通路	 di di tong lu
敌机	 di ji
地灵殿	 di ling dian
地狱鸦	 di yu ya
掉残	 diao can
吊瓶妖	 diao ping yao
凋叶棕	 diao ye zong
丁礼田舞	 ding li tian wu
东方	 dong fang
东方蝉时歌	 dong fang chan shi ge
东方茨歌仙	 dong fang ci ge xian
东方萃梦想	 dong fang cui meng xiang
东方大往生	 dong fang da wang sheng
东方大战争	 dong fang da zhan zheng
东方地灵殿	 dong fang di ling dian
东方绯想天	 dong fang fei xiang tian
东方非想天则	 dong fang fei xiang tian ze
东方封魔录	 dong fang feng mo lu
东方风神录	 dong fang feng shen lu
东方绀珠传	 dong fang gan zhu chuan
东方怪绮谈	 dong fang guai qi tan
东方鬼形兽	 dong fang gui xing shou
东方红楼梦	 dong fang hong lou meng
东方红魔乡	 dong fang hong mo xiang
东方华烂漫	 dong fang hua lan man
东方花映冢	 dong fang hua ying zhong
东方幻想乡	 dong fang huan xiang xiang
东方辉针城	 dong fang hui zhen cheng
东方铃奈庵	 dong fang ling nai an
东方灵异传	 dong fang ling yi chuan
东方梦灵梦	 dong fang meng ling meng
东方梦时空	 dong fang meng shi kong
东方儚月抄	 dong fang meng yue chao
东方凭依华	 dong fang ping yi hua
东方清泉飨	 dong fang qing quan xiang
东方求闻口授	 dong fang qiu wen kou shou
东方求闻史纪	 dong fang qiu wen shi ji
东方三月精	 dong fang san yue jing
东方神灵庙	 dong fang shen ling miao
东方深秘录	 dong fang shen mi lu
东方四季呗	 dong fang si ji bei
东方天空璋	 dong fang tian kong zhang
东方天上花	 dong fang tian shang hua
东方童楼遥	 dong fang tong lou yao
东方外来韦编	 dong fang wai lai wei bian
东方文花帖	 dong fang wen hua tie
东方香霖堂	 dong fang xiang lin tang
东方心绮楼	 dong fang xin qi lou
东方星莲船	 dong fang xing lian chuan
东方妖妖梦	 dong fang yao yao meng
东方萤灯筏	 dong fang ying deng fa
东方樱蝶梦	 dong fang ying die meng
东方樱神月	 dong fang ying shen yue
东方永夜抄	 dong fang yong ye chao
东方游剧天	 dong fang you ju tian
东方紫香花	 dong fang zi xiang hua
东风谷早苗	 dong feng gu zao miao
多多良小伞	 duo duo liang xiao san
哆来咪	 duo lai mi
哆来咪苏伊特	 duo lai mi su yi te
二次创作	 er ci chuang zuo
二设	 er she
二岩猯藏	 er yan tuan cang
尔子田里乃	 er zi tian li nai
法界	 fa jie
反魂蝶	 fan hun die
芳香	 fang xiang
非符	 fei fu
非想天	 fei xiang tian
丰聪耳神子	 feng cong er shen zi
风见幽香	 feng jian you xiang
疯帽子茶会	 feng mao zi cha hui
封魔录	 feng mo lu
风神录	 feng shen lu
封兽鵺	 feng shou ye
风之暗穴	 feng zhi an xue
符卡	 fu ka
符卡规则	 fu ka gui ze
芙兰	 fu lan
芙兰朵露	 fu lan duo lu
芙兰朵露斯卡雷特	 fu lan duo lu si ka lei te
付丧神	 fu sang shen
绀珠传	 gan zhu chuan
高丽野阿吽	 gao li ye a hong
宫古芳香	 gong gu fang xiang
固定弹	 gu ding dan
鼓哥	 gu ge
鼓姐	 gu jie
古明地觉	 gu ming di jue
古明地恋	 gu ming di lian
怪绮谈	 guai qi tan
广有射怪鸟事	 guang you she guai niao shi
鬼人正邪	 gui ren zheng xie
哈德曼的妖怪少女	 ha de man de yao guai shao nv
河城荷取	 he cheng he qu
赫卡	 he ka
赫卡姐	 he ka jie
赫卡提亚	 he ka ti ya
赫卡提亚拉碧斯拉祖利	 he ka ti ya la bi si la zu li
荷取	 he qu
核融炉	 he rong lu
河童	 he tong
红楼	 hong lou
红美铃	 hong mei ling
红魔馆	 hong mo guan
红魔乡	 hong mo xiang
胡桃	 hu tao
冴月麟	 hu yue lin
椛椛	 hua hua
花开夜	 hua kai ye
华扇邸	 hua shan di
花映冢	 hua ying zhong
坏苹果	 huai ping guo
幻梦缘起	 huan meng yuan qi
幻视之夜	 huan shi zhi ye
幻想万华镜	 huan xiang wan hua jing
幻想夏乡	 huan xiang xia xiang
幻想乡	 huan xiang xiang
幻想乡空闪姬	 huan xiang xiang kong shan ji
幻想乡空战姬	 huan xiang xiang kong zhan ji
幻想乡少女大战	 huan xiang xiang shao nv da zhan
幻想乡玩家	 huan xiang xiang wan jia
幻想跃迁实验室	 huan xiang yue qian shi yan shi
幻缘团	 huan yuan tuan
幻月	 huan yue
幻跃团	 huan yue tuan
辉夜	 hui ye
慧音	 hui yin
辉针城	 hui zhen cheng
魂魄妖忌	 hun po yao ji
魂魄妖梦	 hun po yao meng
火车	 huo che
霍青娥	 huo qing e
火焰猫燐	 huo yan mao lin
姬海棠果	 ji hai tang guo
姬海棠极	 ji hai tang ji
姬海棠羽立	 ji hai tang yu li
键山雏	 jian shan chu
间歇泉	 jian xie quan
奖残	 jiang can
奖分	 jiang fen
结界	 jie jie
禁忌的魔法	 jin ji de mo fa
矜羯罗	 jin jie luo
今泉影狼	 jin quan ying lang
今昔幻想乡	 jin xi huan xiang xiang
堇子	 jin zi
京都幻想剧团	 jing du huan xiang ju tuan
静叶	 jing ye
旧地狱遗址	 jiu di yu yi zhi
旧都	 jiu du
九十九八桥	 jiu shi jiu ba qiao
九十九弁弁	 jiu shi jiu bian bian
九天瀑布	 jiu tian pu bu
菊理	 ju li
决死符	 jue si fu
卡娜安娜贝拉尔	 ka na an na bei la er
可悲的人偶	 ke bei de ren ou
克劳恩	 ke lao en
克劳恩皮丝	 ke lao en pi si
堀川雷鼓	 ku chuan lei gu
狂气之瞳	 kuang qi zhi tong
蓝妈	 lan ma
狼女	 lang nv
蕾蒂	 lei di
蕾蒂霍瓦特洛克	 lei di huo wa te luo ke
蕾拉	 lei la
蕾拉普莉兹姆利巴	 lei la pu li zi mu li ba
蕾米	 lei mi
蕾米莉亚	 lei mi li ya
蕾米莉亚斯卡雷特	 lei mi li ya si ka lei te
例大祭	 li da ji
莉格露	 li ge lu
莉格露奈特巴格	 li ge lu nai te ba ge
莉莉	 li li
莉莉白	 li li bai
莉莉黑	 li li hei
莉莉霍瓦特	 li li huo wa te
莉莉卡	 li li ka
莉莉卡普莉兹姆利巴	 li li ka pu li zi mu li ba
里香	 li xiang
恋恋	 lian lian
莲妈	 lian ma
莲子	 lian zi
铃瑚	 ling hu
灵力	 ling li
灵梦	 ling meng
铃奈庵	 ling nai an
令人怀念的东方之血	 ling ren huai nian de dong fang zhi xue
灵乌路空	 ling wu lu kong
铃仙	 ling xian
铃仙二号	 ling xian er hao
铃仙优昙华院因幡	 ling xian you tan hua yuan yin fan
灵异传	 ling yi chuan
留琴	 liu qin
六十年目的东方裁判	 liu shi nian mu di dong fang cai pan
辘轳首	 lu lu shou
露米娅	 lu mi ya
露娜	 lu na
露娜切露德	 lu na qie lu de
露娜萨	 lu na sa
露娜萨普莉兹姆利巴	 lu na sa pu li zi mu li ba
露易兹	 lu yi zi
洛天依	 luo tian yi
绿眼的嫉妒	 lv yan de ji du
